ENSA Nancy - Travaux de renforcement des structures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Milestones;;;;;;Phases;;;;;Tasks;;;;;;;;;;;;;;;;;;
N;M.Name;M.StartDate;M.EndDate;Previous.M;Next.M;N;P.Name;P.StartDate;P.EndDate;P.Requirements;T.Name;ID;T.Duration;T.Men;T.Previous;T.Team;4DObject;T.Level;ObjectsCount;T.Zone;T.State;Constraint;Information;Materials;Man Power;Equipement;Safety;;TeamColor
1;Période de préparation;01/09/2020;10/11/2020;N/A;Travaux TCE;1;Période de préparation;01/09/2020;11/10/2020;Requirements Exemple Text;Préparation chantier;101;10;10;;Team E;3A09359C-29BA-42D8-B979-578CA26E9C16;Etage Jaune;;;Not Ready;No;No;No;No;No;No;Team A;Yellowish
;;;;;;;;;;;Prototype File 18;102;20;8;101;Team E;3A09359C-29BA-42D8-B979-578CA26E9C16;Etage Bleu;;;Not Ready;No;No;No;No;No;No;Team B;Redish
;;;;;;;;;;;Conclusion Adaptation;103;10;2;102;Team E;E7F3642F-589A-4CF9-BEEF-210859EFCC71;Etage Bleu;;;Not Ready;No;No;No;No;No;No;Team C;Blueish
2;Travaux TCE;11/09/2020;05/07/2021;Période de préparation;N/A;1;Reconstruction suite au sinistre;11/09/2020;09/12/2020;Requirements Exemple Text;Démolitions-Travaux préparatoires-Stabilité provisoire;104;5;4;101;Team A;194DBE1E-16B4-4FAC-BCF5-C67B154B3571;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;Team D;Orange
;;;;;;;;;;;Fabrication et approvisionnement des panneaux/poteaux/poutres;105;60;4;101;Team B;F554A9F8-B7D8-4436-834A-DF2C64255CC6;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Travaux préparatoires de S/Sol au RdC;106;6;4;104;Team C;AEC8B4A1-6E1E-4962-99DD-80A767B2BDEF;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose du bardage;107;5;4;106;Team C;4E2ED3A3-9135-43CA-989A-4B2B94015DE9;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Remplacement du linteau;108;5;4;107;Team A;2BFB7D25-90D6-49D8-B467-B6CF4B523827;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose File 1;109;15;4;105;Team A;61E916E8-E94B-41D9-9CD9-E53D3E31DEE2;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose escalier entre RdC et Etage;110;10;5;109.111;Team A;789B1B63-F041-441F-B642-7FB4DAB2F0A6;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose File 0;111;15;5;105;Team A;2A8600AA-C58C-432D-9AFE-493BC2C94FAC;Etage Bleu;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;2;Travaux File 18;16/09/2020;16/12/2020;Requirements Exemple Text;Echafaudage 1;112;5;4;104;Team C;329776D2-920E-4248-9B40-AD7D7FD1BEB5;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose couvertines;113;2;4;112;Team C;9FA43E5F-31DB-4018-A31A-C959EFA45977;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des scotchs 1;114;3;4;113;Team C;553B7D3C-CEC0-4519-A5F3-A1510E801ADA;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Solidarisation des panneaux sur structures;115;15;4;114;Team A;D8F5080C-B070-4390-A9CA-74780A5EEF73;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Injection résine appuis panneaux;116;30;4;115;Team B;5989BE3A-55B5-42C3-AD9A-A01CA28B6DEF;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Rebouchage mortier et pose de scotch;117;10;5;116;Team B;153BD710-60A9-4B72-B4EF-DC6142A5CFC7;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Nettoyage façade - Réfections ponctuelles - Aérogommage;118;15;4;117;Team D;9F3EEDA8-F147-45D8-BB61-5AC0EBE4F44E;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose couvertines et bardage 1;119;5;4;117;Team A;E958D319-654C-4107-B846-34F08916C49A;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peintures/Lasure;120;10;4;118.119;Team D;169ACBA6-DCBF-4420-A666-8023E3613432;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose échaffaudage et nettoyage;121;5;4;120;Team C, D;24253529-7F4C-4376-A5D3-C3554BC7EA60;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;3;Renforcement panneaux ajourés;16/09/2020;10/10/2020;Requirements Exemple Text;Etaiement;122;5;4;104;Team C;40039EC1-2ED0-4364-9231-ED916B47543C;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des scotchs 2;123;2;4;122;Team C;A57204A7-B022-4915-9369-C3EA7C690A4A;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Remplacement des platines;124;10;4;123;Team D;B27F34A9-7598-41D6-AAB2-75320E8E8FE0;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peinture intumescente 1;125;3;4;124;Team D;2F664FF6-F387-4009-BD9E-177027E6CF52;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Pose couvertines et bardage 2;126;3;4;125;Team D;B269B8D5-6468-4E20-8B24-5DE1002DB639;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Capotage 1;127;2;4;126;Team D;F777729A-8266-4CC8-B10E-245C2C2C1E50;Etage Bleu;;A;Not Ready;No;No;No;No;No;No;;
;;;;;;4;Travaux File 0;17/12/2020;31/01/2021;Requirements Exemple Text;Echafaudage 2;128;5;4;121;Team C;FCCD8D96-2963-4150-8581-2E6A0395568C;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Aérogommage-Réfections ponctuelles;129;7;4;128;Team D;99E07328-0427-47F0-964F-F7C6EFB021DD;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Renforcement des appuis-Mise en oeuvre UPE;130;7;4;129;Team A;7DA6F3CD-BBCC-4072-B005-AF854096659C;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Renforcement des façades - Equerres;131;10;5;130;Team A;D70D67F3-3054-402F-9E4C-87D6F2C5BAA3;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peinture intumescente 2;132;5;4;130;Team D;61F468D5-7F67-4D46-A240-A71B03AF7438;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Capotage 2;133;2;4;131.132;Team D;52B73141-16BA-48F4-A16F-7341CFAD75A6;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;5;Renforcement local et espace technique;17/01/2021;31/01/2021;Requirements Exemple Text;Equerres;134;3;4;133;Team A;38565E5A-B82D-4685-8A5B-0872E73C8AC0;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peinture intumescente 3;135;2;4;134;Team D;F7B96E6E-9934-4A2B-B150-AF677815C3E9;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Mise en oeuvre de mortier joints horizontaux;136;3;4;135;Team A;12469E18-1A4D-442F-A2CD-1DCF352932B0;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Remplacement des joints Verticaux;137;2;4;135;Team A;4D3B1344-947E-4407-8BFD-F0A3DB9375C8;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peinture/lasure-Capotage;138;5;4;136.137;Team D;B862C71D-6FE2-4822-8AEE-F2DD531B1F59;Etage Bleu;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose échaffaudage File 0 et nettoyage;139;2;4;138;Team C, D;96246270-01A2-45D5-8F65-46D14F69DA23;Toiture;;B;Not Ready;No;No;No;No;No;No;;
;;;;;;6;Travaux File 1;01/02/2021;28/03/2021;Requirements Exemple Text;Dépose couvertines-Relevés d'étanchéité-Batardeaux-Protections;140;2;4;139;Team C;20772959-55FD-4936-85CA-F2AE4D63048D;Toiture;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;7;Renforcement des panneaux;29/03/2021;30/04/2021;None;Stabilisation provisoire 1;141;3;4;140;Team B;EAB9569B-1B6B-4AED-89E0-DDE8E1C09B84;Toiture;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des scotchs 3;142;3;4;141;Team C;4CD0EECE-F2AC-4FED-853C-CEA52A2086D1;Toiture;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Mise en oeuvre des équerres et des profilés;143;10;5;142;Team A;4619A615-2F08-4B23-85C9-AB99910B888E;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Joints mortier;144;4;4;143;Team A;59E61868-6C1F-4241-8569-40B41B467FC5;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Traitement des joints Verticaux 1;145;4;4;144;Team A;444E3581-4250-48D2-B8E5-7E90659160BF;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Réfection étanchéité;146;5;4;145;Team B;A3509288-4DCE-4ED2-9A8F-0ADD08159170;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;8;Renforcement des panneaux des patios entre File 1 et 0;03/05/2021;10/05/2021;None;Stabilisation provisoire 2;147;3;4;146;Team B;09464697-C5AD-4A70-9EC9-2DA018D3B1C3;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des structures existantes;148;3;4;147;Team C;78626DE7-F8C1-46E7-98FF-09B2DF71F85E;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;9;Renforcement des paliers;11/05/2021;30/05/2021;None;Mise en oeuvre profilés-Chevillage;149;5;4;148;Team A;98E2F55E-8321-49E9-AE6A-77A779A7EF30;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Peinture intumescente 4;150;3;4;149;Team D;8FEF4545-6506-4917-B538-B988719031DD;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Traitement des joints Verticaux 2;151;3;4;150;Team A;51C8796C-1F40-42D2-B0AA-80FE4C0ABBA7;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose échaffaudage entre File 0 et 1;152;2;4;151;Team C, D;9C6862E5-6887-4C29-8088-13D857391D32;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Travaux sur paliers dalles escaliers extérieurs;153;6;4;152;Team D;5A1A5358-02DA-4495-9B5A-6ECD82054A66;Etage Rouge;;C;Not Ready;No;No;No;No;No;No;;
;;;;;;10;Travaux sur entrée de garage;31/05/2021;20/06/2021;None;Travaux préparatoires - Déposes diverses;154;2;4;139;Team C;AF676EB0-2D5E-420F-8598-23026BFC6261;Etage Rouge;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Dépose des finitions et protections lourdes;155;2;4;154;Team C;D376C385-45DA-4456-AC1A-141575BF2E8C;Etage Rouge;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Création de relevés BA;156;5;4;155;Team B;8DD46D86-D404-4271-AD8F-DD84E186AB3C;Etage Rouge;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Création EP - Carottage;157;2;4;156;Team B;B52A2DAD-7B5A-4753-95C1-9AB9A72C88FF;Etage Rouge;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Forme de pente;158;1;2;157;Team D;CDED5E3E-E5DE-4955-8DD6-2E79D0DB1AE0;Etage Jaune;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Etanchéité;159;4;4;158;Team D;54917EEF-8EF4-43BB-99A8-0CD482BFEC19;Etage Jaune;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Traitement JD;160;1;4;159;Team D;F4391F1D-4022-4D9D-B4FB-1C7F188D23C8;Etage Jaune;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Raccordement des EP;161;1;4;160;Team D;DD5D7787-4184-45F2-83BE-15D0760ABAED;Etage Jaune;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Protection lourde Finition asphalte-Bordures;162;3;4;161;Team B;32D52D0E-54EB-4FE1-B183-BE367EF1A2E0;Etage Jaune;;D;Not Ready;No;No;No;No;No;No;;
;;;;;;11;Réparation des ouvrages BA;21/06/2021;05/07/2021;;Sondages - Repiquage des surfaces;163;5;4;162;Team C;7CF9FB86-F6AF-46AE-B955-C758F209946A;Etage Jaune;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Passivation des fers;164;4;4;162;Team B;ED5DA58F-4071-4C28-B5FF-C16A0F26DA64;Etage Jaune;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Mortier de réparation;165;3;4;164;Team D;AF085A93-4034-41E7-8471-3EB89FE1165F;Etage Jaune;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;Mise en oeuvre de capotages;166;2;4;165;Team C;59012431-82E5-4DE0-88F7-B1BFF4EAF053, 4FDC5503-6AE4-47D1-B998-F02F47AA4D66, 8DF74C4D-2087-4370-AD31-4AF5632A5D5A;Etage Jaune;;A, B, C, D;Not Ready;No;No;No;No;No;No;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
